soal;option_a;option_b;option_c;option_d;jawaban;
"Bacalah teks berikut ini!
Toko kelontong dari Pak Djaya semalam dilahap oleh Si Jago Merah. Tetapi dalam kejadian tersebut tidak ada korban jiwa.
Arti dari ungkapan Si Jago Merah adalah ....";Ayam jago;Dimakan Ayam;Penjahat;Api;D;
"Bacalah teks berikut: ""Hutan hujan adalah rumah bagi berbagai jenis tumbuhan dan hewan. Keragaman hayati yang tinggi di hutan ini membuatnya sangat penting untuk menjaga ekosistem kita. Apa yang bisa kita pelajari dari hutan hujan?""";Hutan hujan adalah gudang permen;Hutan hujan adalah rumah bagi berbagai jenis tumbuhan dan hewan;Hutan hujan tidak perlu dilindungi;Hutan hujan bebas ditinggal dan dirusak;B;
"Bacalah cerita pendek berikut: ""Hari Minggu adalah hari libur favoritku. Pagi ini, aku pergi ke taman bermain dengan teman-temanku. Kami bermain ayunan dan perosotan. Lalu, kami makanes krim. Hari ini sangat menyenangkan!"" Berapa aktivitas yang dilakukan oleh penulis pada hari Minggu?";1;2;3;4;C;
"Bacalah kutipan berikut:
Doni selalu membuang sampah pada tempatnya. Ia juga sering mengajak teman-temannya untuk menjaga kebersihan.
Apa sikap Doni yang bisa kita contoh?";Membiarkan sampah berserakan;Membuang sampah di sungai;Menjaga kebersihan lingkungan;Membuang sampah sembarangan;C;
"Bacalah pernyataan berikut:
Semua hewan di dunia ini harus dilindungi. Apa alasan yang mendukung pernyataan tersebut?";Hewan penting bagi keseimbangan alam;Hewan bisa dimusnahkan kapan saja;Hewan tidak memiliki manfaat bagi manusia;Hewan hanya mengganggu kehidupan manusia;A;
"Apa arti kata ""mendaur ulang"" dalam kalimat berikut?
Kita harus mendaur ulang sampah plastik agar tidak mencemari lingkungan.";Menggunakan kembali;Membuang jauh-jauh;Membakar dengan api;Mengubur dalam tanah;A;
Apakah kamu tahu komodo? Komodo salah satu hewan yang sangat besar. Ia tinggal di Pulau Komodo. Pulau Komodo ada di Indonesia Komodo mempunyai gigi yang panjang. Panjang gigi komodo lebih kurang 2,5 sentimeter. Jumlah gigi komodo ada sekitar 60 buah. Lidah komodo juga panjang dan bercabang. Fungsi lidah komodo untuk mencium bau mangsa. Komodo dikenal sebagai kadal yang paling besar di Bumi. Itu karena berat badan komodo bisa sampai 200 kilogram. Berapa panjang gigi komodo?;2,5 sentimeter;1, 3 sentimeter;5 sentimeter;1,8 sentimeter;A;
Di dapur, Rara sedang membantu ibunya membuat kue cokelat. Mereka menyiapkan bahan-bahannya seperti tepung, telur, gula, dan cokelat bubuk. Ibu mengajari Rara cara mencampur adonan dengan benar. Setelah itu, mereka menuangkan adonan ke dalam loyang dan memanggangnya di oven. Rara sangat senang bisa membantu ibunya di dapur. Bahan apa yang digunakan Rara dan ibunya untuk membuat kue?;Tepung, telur, dan garam;Tepung, telur, gula, dan cokelat bubuk;Tepung, garam, dan mentega;Tepung, garam, dan gula merah;B;
Hari Sabtu, kelas 5 SD Nusantara mengadakan kunjungan ke museum sejarah. Mereka belajar tentang benda-benda bersejarah seperti senjata kuno, pakaian adat, dan berbagai peninggalan nenek moyang. Guru menjelaskan pentingnya menjaga dan melestarikan warisan budaya. Anak-anak sangat antusias mengikuti tur tersebut dan mencatat hal-hal penting yang mereka pelajari. Apa yang dipelajari murid-murid di museum?;Cara membuat senjata kuno.;Sejarah dan warisan budaya Indonesia.;Menjadi pemandu wisata di museum.;Memasak makanan tradisional.;B;
Di sebuah desa kecil, hiduplah seekor anjing bernama Bingo dan kucing bernama Mimi. Meskipun berbeda, mereka selalu bermain bersama. Setiap sore, mereka berlari-lari di halaman rumah, saling kejar-kejaran, dan sesekali bermain petak umpet. Penduduk desa sering melihat mereka dan tersenyum melihat kebersamaan yang indah di antara Bingo dan Mimi. Persahabatan mereka mengajarkan bahwa perbedaan bukanlah penghalang untuk saling menyayangi. Mengapa persahabatan Bingo dan Mimi menarik perhatian penduduk desa?;Karena Bingo dan Mimi selalu bertengkar.;Karena Bingo dan Mimi selalu bermain bersama meskipun berbeda.;Karena mereka hidup di desa kecil.;Karena mereka sering bermusuhan.;B;
